name,state_id                        
Hyderabad, state_id: 1
Itanagar, state_id: 2
Dispur, state_id: 3
Patna, state_id: 4
Railpur, state_id: 5
Panaji, state_id: 6
Gandhinagar, state_id: 7
Chandigarh, state_id: 8
Shimla, state_id: 9
Srinagar, state_id: 10
Ranchi, state_id: 11
Bangalore, state_id: 12 
Thiruvananthapuram, state_id: 13
Bhopal, state_id: 14
Mumbai, state_id: 15
Imphal, state_id: 16
Shilong, state_id: 17
Aizwal, state_id: 18
Kohima, state_id: 19 
Bhubaneshwar, state_id: 20
Mohali, state_id: 21
Jaipur, state_id: 22
Gangtok, state_id: 23
Chennai, state_id: 24
Warangal, state_id: 25
Agartala, state_id: 26
Dehradun, state_id: 27
Lucknow, state_id: 28
Kolkata, state_id: 29
